Genes	First.Protein.Description	Detection	Median.Abundance	Peptides	Precursors
IGHV3-72	Immunoglobulin heavy variable 3-72	0.961990950226244	327.589407337042	4	4
IGHV3-13;IGHV3-20;IGHV3-21;IGHV3-43;IGHV3-48;IGHV3-7	Immunoglobulin heavy variable 3-21	0.781900452488688	2922.05694787285	1	1
IGHV3-23;IGHV3-53;IGHV3-74	Immunoglobulin heavy variable 3-74	0.990045248868778	1863.86940830076	1	3
IGLV3-9	Immunoglobulin lambda variable 3-9	0.858823529411765	62.0588214603585	2	3
HPR	Haptoglobin-related protein	0.990950226244344	3480.9372388413	8	10
F11;KLKB1	Coagulation factor XI	0.61447963800905	209.578394168906	1	1
IGLV3-25	Immunoglobulin lambda variable 3-25	0.352036199095023	101.233415641192	2	2
SAA2	Serum amyloid A-2 protein	0.314027149321267	556.971808372838	4	5
IGLV3-1;IGLV3-10	Immunoglobulin lambda variable 3-10	0.361085972850679	41.9337016098216	1	1
CFH;CFHR3	Complement factor H	0.788235294117647	257.993669789235	1	1
IGHV1-18;IGHV1-2	Immunoglobulin heavy variable 1-18	0.171945701357466	2070.69221225296	1	1
C1S;MASP1	Complement C1s subcomponent	0.194570135746606	96.3921686566835	1	1
IGHV1-45	Immunoglobulin heavy variable 1-45	0.435294117647059	54.4573547438386	2	2
IGHV1-3;IGHV1-46;IGHV1-69;IGHV1-69D	Immunoglobulin heavy variable 1-69D	0.781900452488688	566.364494805738	1	1
IGLV3-10	Immunoglobulin lambda variable 3-10	0.604524886877828	60.9062986412496	3	4
APOF	Apolipoprotein F	0.971945701357466	92.2582649673598	2	3
IGKV1D-16	Immunoglobulin kappa variable 1D-16	0.505882352941176	79.3335276612604	1	2
IGHV4-34;IGHV4-38-2	Immunoglobulin heavy variable 4-34	0.980090497737556	1776.19122615227	4	5
LCAT	Phosphatidylcholine-sterol acyltransferase	0.942081447963801	45.5707729512322	5	5
IGKV2-29;IGKV2D-29	Immunoglobulin kappa variable 2D-29	0.436199095022625	31.7370329499134	3	3
CFHR1	Complement factor H-related protein 1	0.879638009049774	77.6539789686297	3	3
IGHG2;IGHG4	Immunoglobulin heavy constant gamma 2	0.998190045248869	9677.58450365657	1	2
IGLV3-21	Immunoglobulin lambda variable 3-21	0.843438914027149	94.1846669620957	3	3
IGHV3-43	Immunoglobulin heavy variable 3-43	0.430769230769231	48.4916087752913	2	2
IGHV3-49;IGHV3-73	Immunoglobulin heavy variable 3-49	0.862443438914027	56.6930053440675	1	2
B2M	Beta-2-microglobulin	0.627149321266968	169.783644818376	3	4
IGHV1-69-2	Immunoglobulin heavy variable 1-69-2	0.326696832579186	99.7507902079194	3	3
