File,ALB,ITIH1,APOB,A2M,C7,KNG1,APOE,C3,CFI,SERPINC1,HRG,SERPINA3,IGKC,ITIH4,C8G,ITIH2,CP,C9,AFM,C5,AMBP,GSN,CFH,AZGP1,CPN2,PGLYRP2,IGLL5,APOA1,FGB,CFB,FGG,FBLN1,C6,GC,C8A,LRG1,C4BPB,AGT,FGA,APOA4,SERPINF1,APOH,PROS1,IGKV3-15,IGKV3-20,CLU,LBP,PLG,CD14,A1BG,HP,C2,F5,SAA4,IGHG2,AHSG,C8B,C4BPA,KLKB1,C1R,F13B,IGHG3,APOD,C1S,HPX,JCHAIN,APOC3,IGHA2,IGHA1,IGHG1,SERPING1,IGHM,F2,RBP4,C1QB,SERPINF2,SERPINA1,CPB2,ITIH3,CPN1,APOC1,HBB,SERPINA7,ORM2,ORM1,APOA2,APOC2,PON1,SERPIND1,GPX3,LUM,C1QC,HBA1,IGKV4-1
520_TOF1_AF_002_ZeBanC_P1_A1,16.013138784039448,9.89830784397445,11.337748939774833,12.26845221520441,7.85220845405673,11.477159212268752,10.277053106549028,10.823898806956363,8.79218920241613,10.519279491682791,10.288746756069699,13.396950142704625,13.051624817900105,12.40002559795979,7.3045370084045596,10.085892170703818,11.835673981401154,10.720318228197847,7.362605244571428,8.764230180979984,12.449897076621872,8.641888328273247,10.859516975834854,10.599910464399416,8.205457208484173,6.925570620577639,12.939882943426616,13.324785637683888,15.019697178142799,10.000636207625922,15.084019459075996,8.338823098383912,8.111736425792689,10.374455227844292,7.977704742251895,11.805936147227328,8.806207101242794,9.366758760205167,15.22238731054077,10.594853142439467,8.375104208499085,11.192990052045205,7.78595407612543,11.094942223354312,11.149206633623002,10.70598215132762,9.679561126364808,10.353026584101267,10.462432969115204,10.716588936939909,15.263183245328054,8.130986673141575,5.7184132021913285,9.38978223135499,11.368039269340208,9.545664337212852,8.989977380200049,11.237570764418377,9.529551316162028,8.020782155430117,7.345705804992147,12.80930842746123,9.176102190457783,10.872003219128816,11.540279963908391,9.04207944273058,12.136782384317124,11.826913809198144,12.643035812726678,14.176366517371253,11.873811147933562,9.927965307044625,9.946144495664239,9.475050419212131,8.675031658863883,9.932815293006337,15.310584468943203,7.854905308687331,9.994326745961502,7.624211616174214,9.049604320957206,12.844052354330147,7.603233313009805,11.068338674757367,13.315404491208763,9.095823731675555,11.227821227215408,7.8151285956256,9.027520540314155,6.97723750446052,7.7553135905498225,9.588932011257747,13.0492114109767,11.193752951421013
520_TOF1_AF_003_ZeBanC_P1_A2,16.014342201306018,9.609879405907822,10.448807783062687,12.122808264846961,8.789555886095483,11.044667025455576,10.24004721450735,12.622829658061908,8.897876869326893,10.667418714232173,9.888535620811917,13.620915862929095,12.837044365663807,11.83802374964502,7.673285123364511,10.177505379038298,11.19795898871396,10.88618933740289,7.801840104741931,9.404501671018682,10.229588314282998,8.92494897138894,10.671723147665826,10.460697237929455,7.586345506985642,7.450687761378803,12.310411650752766,14.450981192681676,14.030663231503594,10.63551251179238,14.04461808855032,8.144014736556947,7.93304933560606,10.4473842759035,8.380164552027395,11.211886807111773,8.03290411145528,9.326285973714542,14.204311230408178,9.550212264563259,7.685956283929334,10.83461460979297,7.754896827434789,11.520569233710807,12.224268767846407,11.073070496550386,9.74512628095157,10.795899745980691,9.60942580595921,10.867096050690899,15.528800645036776,8.129712922929631,5.443107515902179,9.446855555729433,10.298140703012288,9.458511462411586,9.529058581029894,10.680288584919474,9.960220748141287,8.514431610726202,6.478582841764728,10.855344478686089,8.575333964093065,11.01110894917164,13.227909549005254,8.903672636142906,11.136380121374472,11.916766850996336,12.438147398926082,13.982041637972003,12.089823872355824,11.399094410423462,10.098703470627713,8.834737089849094,9.101663470115714,9.763234747052717,15.090907715736893,7.828653588399774,9.307701137688218,6.849506185274281,8.65896899341537,8.726421256604846,7.297578720956058,11.06257217602028,12.887633703239006,10.47480756044215,10.215094788218318,7.789959831596684,9.150600964296686,7.451633203677483,8.004602254886596,10.183311153137097,9.042007496240137,11.467400405732763
520_TOF1_AF_004_ZeBanC_P1_A3,16.071198263223913,10.006955129802181,10.071109436163187,12.415960389463804,8.511789066765717,11.04703114666163,9.044660708641008,12.583121351481797,9.083604709888093,10.640545847261585,9.896930132607311,12.987138627277252,13.648317057949278,11.649443540830239,7.692339781602306,10.388993476392994,11.408078109270518,10.80358167577367,7.721528830547849,9.140534322719482,10.35212757495904,8.919482987832406,10.783721898739204,10.161837515608724,7.193159503439785,8.048104716266756,12.767221845463931,14.754588411245539,13.746825347698122,10.716670603459177,13.801671262806858,7.883715352482902,7.843017072842774,10.516973053839006,8.465338703919617,11.231047231203496,8.277293861342178,8.817045214669953,13.931208475912417,9.503030937739117,7.478961010917388,10.670118955965744,7.908704643033311,11.943823323347472,12.677229168340492,10.975390640094066,9.069135510761756,10.690046596113339,9.483813945095902,11.115128880577835,15.48470889230464,8.175467012682141,5.264541961883133,9.693278057160994,10.836134779195625,10.016512239497642,9.548681822557006,10.862437789052992,10.142411964892943,7.886541887694094,6.57105765909913,11.146301749998944,8.812846436551917,10.365685932056499,13.33240861531703,9.204433771643009,10.34016634835329,12.273079096763999,12.84018378280726,14.813707941215956,11.722566176967284,11.632559608178775,10.16554251562787,7.991448660816365,8.691581152820277,9.388631432319011,15.082142726750025,7.889651301291314,9.125425443802325,6.521108713346104,8.734747612377484,10.009025460602494,7.157640039483493,10.98399091876264,12.755654127508997,11.134187084571291,9.999963403324251,7.787857031065983,9.476657031864564,7.424878655642286,8.18880116965391,9.80458610762239,10.391345608133253,12.051008887943985
520_TOF1_AF_005_ZeBanC_P1_A4,16.05354293300266,9.362838643236435,10.512244466606194,11.780841856419439,8.552825168407539,11.068613591377943,10.368612410060416,12.41636530152138,8.970322704777441,10.406698974478992,9.502169605023969,13.53200333562668,14.459931193590393,11.831493020468635,7.163588577883015,9.889590691917114,10.89249362387617,10.43773681153456,6.269767667640264,8.914508501072374,10.543268919722268,9.13605909405835,10.549447632846402,10.343200558089093,7.485624904832095,7.050978943803226,13.752911135064005,14.401673173269758,14.257610278057403,10.027189004872671,14.316265254420998,8.631898928149518,8.320705820940834,10.349479530675536,8.203385637325699,11.234802413739267,8.004410534781828,8.90042347638222,14.42023075580386,9.952836903866652,8.35534247331983,10.823362422101063,7.622378014609921,12.588491817799138,13.341873686458314,10.888920237767994,9.24613447207285,10.65442537055261,10.016456782431527,10.8599461341084,15.959697959889438,8.072150200528466,5.805200973883993,8.535926482071666,13.330128720847625,8.727815207051417,8.855639190009104,10.605190040291642,9.329145596343896,8.245557681743215,6.779077452307791,12.62439759756871,9.292722233194631,10.907739083591572,12.671268159223748,9.041655257813385,11.085288097806346,12.470026227379583,12.958096788584406,15.174290207192302,11.098271494889692,11.458934572422674,10.017064503465097,8.60966298774921,9.13766626112932,9.372293106968527,14.908606535639722,7.43452712764185,9.242829407759858,6.885601305441372,7.064806351626409,9.572902660930735,7.176234215808721,10.65485650895561,12.213561275915783,10.754367982763261,10.185319746838609,7.98216559585045,8.935240667448697,7.890460523937536,7.522144017324476,9.998502993333103,10.065775414017939,12.418809453140184
520_TOF1_AF_006_ZeBanC_P1_A5,15.952487252235397,9.747485888103396,10.655134454988524,12.018233065262756,8.861674114308718,11.011398291654043,10.609551201979908,12.236359489260362,8.84551481602882,10.268844290462138,9.62582665117707,13.19446497324781,13.182054772485296,12.02717629884115,7.694503032731063,10.161811616923531,10.673304905826006,10.797925231237837,8.061288678608218,8.917792577327818,11.5592418149079,8.808256170814534,10.551276273750481,10.680157818516413,8.049508539800904,7.378774676387462,13.358734070021523,14.200832291364497,14.179022500161365,10.624969902109472,14.306105111117605,8.363165517078073,8.233800622420048,10.42541505522903,8.488367248518493,11.530014575752325,8.249995997797035,9.392869400483134,14.465388962938816,9.748848432774999,8.185475472115414,11.161634787369673,7.3782982062639615,10.941625424774127,11.698566508895702,10.793241579585912,9.578705777831228,10.333199203674079,9.96866044681435,10.759261359615653,15.019022185583067,8.135737411027417,5.696852429676013,9.587308414914132,11.784135332338833,10.02272365632205,9.637556911607364,10.71849280948926,9.562930556795218,8.634204516365047,6.4606755411984675,13.816351634638128,9.134986680926277,11.212662000647404,12.475684517363538,9.543156349175078,11.638898621658182,12.456356121516135,13.204041124897897,14.109999631401982,11.806176339118837,11.47607587766219,10.29857733054048,8.966897227767955,9.335947367061129,9.554040317866665,15.157275018221103,7.610647021406584,9.735086360376167,7.428756504034417,7.264540958442398,8.707745831104136,8.104948233626862,11.0934039108504,13.520183565906256,11.015304990573014,10.922042044292711,8.267644212630199,8.97644778128101,7.587923601080761,8.32716342652555,10.315835206672473,8.916993755454362,11.535782291228392
520_TOF1_AF_008_ZeBanC_P1_A6,16.202303418188784,9.379322203732977,10.260319170695233,11.879199936251686,8.627488239974861,10.902064290772707,10.165928259216068,12.511117220351727,8.88544363171424,10.264562383038065,9.493359257742124,13.435642574528432,14.449637025972718,11.708767549298996,7.173858172528025,9.807234986181207,10.893660029378138,10.593325350341459,6.682090122749681,9.124173368631933,10.425914765179632,8.88956461407373,10.514762830266164,10.547475470347303,7.689508084298508,6.595549327587798,13.669599101302463,14.49767138046711,14.586641969290286,9.923803994440814,14.629200853776384,8.401976944689956,8.442423432651685,10.103473241346407,8.074367138535266,11.404053273284136,7.999359107180976,8.862826061243474,14.81292880323568,9.697472633841429,8.281069866441808,10.629408053769344,7.649866693687383,12.730932998047702,13.321029451066591,10.753285291342092,9.695312683812059,10.662951799908694,10.009500909251651,10.83191076541161,15.816872227392517,7.866735039849186,5.579128868635649,8.27370925216183,13.205034792039818,8.642960648407309,9.110988978117227,10.595993916400312,9.226137629049475,8.119142886093982,6.740069218878422,12.608824901662766,9.331310724537204,10.853770463834039,12.657184786475852,8.980571280478575,10.863087091895967,12.367284622143423,12.828935539085643,15.48353104898998,11.280099309181088,11.500736428872214,9.9758123497112,8.640375842251576,8.919726157637776,9.391344859637295,14.98178257912518,7.415874327765063,9.3689636700789,6.791524071766413,8.084914659128234,9.533365732868841,7.071946489706205,10.979995831442217,12.778414648273325,10.89486393948678,9.97048404943444,8.205864989893662,8.990395258182524,8.144550592685853,7.481300416407285,9.905438117838735,9.932654157025684,13.20368227981923
520_TOF1_AF_010_ZeBanC_P1_A8,16.020519128055223,9.665172032746018,10.846260950769333,11.98685838592513,8.938216744904581,11.048743511229297,10.753942833062059,12.144438026395122,8.728630936365077,10.35875302326052,9.371259063493284,13.314010695245797,13.084480859276928,12.020857102615786,7.567471634839208,10.100183289646294,10.746423838303006,10.73407415878579,7.993084848975701,8.796212392606542,11.532201616501409,8.864012003641223,10.497405043397563,10.741811622115206,8.20158996907879,7.343552746746152,13.361984972094294,14.080374638298686,14.388450277419347,10.627423649605474,14.43104455727672,8.279746707660063,8.152524175198462,10.340439290324467,8.421400079511365,11.492518838692693,8.069472636986609,9.469036334484104,14.63240794970727,9.732454654836403,8.094034362583312,11.195088796255451,7.384657424190751,10.875048408406165,11.755743194358846,10.824037874647455,9.725726255411779,10.315130592000123,9.815942758495101,10.71965764206952,14.947614658686671,8.192092088527488,5.5817903870084935,9.733285340348576,11.693699022137103,10.022585845861922,9.48451690331337,10.520739360008061,9.505796380710697,8.651534299809036,6.55797231136741,13.790517960412537,9.247232522756741,11.231148532847936,12.319136935227084,9.554708700872254,11.70706309561392,12.420385304749464,13.125619277909921,14.124536248192031,11.780253413617602,11.539877648041465,10.200430044211663,9.309086061843406,9.229195752637052,9.51747418568998,15.127314318444771,7.5552919765808895,9.527110737684584,7.408081434550543,7.124614646040753,9.057004681455288,8.10171686890521,10.801733843666293,13.141503416451169,10.780464022044756,10.914758821058813,8.248545188657523,8.845906641885717,7.5576021341602875,8.065485548992035,10.299448293893755,9.179955774596417,11.493797142844448
520_TOF1_AF_011_ZeBanC_P1_A9,16.191437687868238,9.749294349795958,9.706063471835536,12.071423624410615,8.603756497026636,10.808653822823482,8.802522035122799,12.326381326202638,9.129344652441016,10.620181802046389,9.864604626103322,12.336237013396005,13.890415665262893,11.224612790138224,7.442005389297215,10.285622119376944,11.003319847059647,10.380417684437449,8.027829533932733,9.284109689505136,10.473184209073988,8.954277450970462,10.723995997633796,10.478116937110276,7.00227821487428,7.952345734384523,12.924800639156954,14.629503799727937,15.978091666556935,10.008368977084059,16.022431825350488,8.118094962214506,8.000434284911906,10.299289965101199,8.04664106118901,10.272362325719534,8.20355910149658,8.655675593197401,16.322290790383207,9.250845672675368,7.575257688798979,10.759625135413081,7.66941767539003,11.91065435858936,12.518666120102216,10.949372953607869,8.456572973991063,11.19946839280037,9.799193363049737,10.846585157882075,15.014286756662026,7.942217282896822,5.3807686103677765,9.4432052983062,10.98670761639326,10.125427590404733,9.166229521816614,10.6823531387347,10.144940626837469,7.481536795101259,8.90223140319668,11.136316083756709,8.403805391602367,10.341215746578387,13.194315837535964,9.126462545758585,10.76169918496958,12.024364316592974,12.614861387193967,14.984338938826804,11.335852820746586,11.819997363593847,10.501034010746029,8.740255074865534,8.872298743796236,9.323636201772642,14.576746367131026,8.015290436765888,8.264879821692414,6.1716222016355005,8.33431368140763,9.555015155520673,7.184590536101913,10.634760082853415,12.311637600233013,11.27586416941155,10.180122103715684,7.675174066786257,9.355579122914248,7.770752853210393,7.702755752762106,9.88785155758706,10.04592756652825,12.081139166972175
520_TOF1_AF_014_ZeBanC_P1_A11,16.90910603566595,9.450531002645992,9.787260133008838,11.722336218234721,8.232193091909009,11.24161142175114,11.452845539117599,11.512397253145004,9.011413145680635,10.979159611834412,9.492424629367095,13.499698135636454,13.633061372515288,11.66418197101409,7.499103594697997,9.857624930030536,11.215950747780267,10.612326290924273,8.033602203206462,9.29759452306131,11.11714412023561,9.603438645611709,10.593982148362077,11.446494640473235,7.904920899617444,7.26390243855974,13.308183516762618,14.626860256366166,13.691034188420824,10.015882608875291,13.78713737031172,7.5634936603345695,8.69275999000367,10.259357980779374,8.03222913478244,10.578514784975209,8.019683917548837,9.72372943991106,14.032686204035615,10.377972686406023,8.320059953988316,11.474813719721887,7.586015257067447,11.904299591739504,12.421573100152152,11.304316994320246,8.918172858751484,10.602207870867137,9.469602798480603,10.596699179814475,12.816064016222901,7.552022485188948,5.323308105715914,9.955620621775031,12.774898406279672,9.344618956474392,9.35817930526202,10.654817494086432,10.052094259176998,8.398026490993969,6.976183402887819,12.502944865815335,9.472980669055763,10.804310304420826,12.97382668851948,9.745709419387401,12.116033259157406,12.855410556911554,13.346960240992638,14.333836115791458,12.29766512358273,11.766981357467355,10.131534535259357,9.968932845442593,8.498617464186761,9.756485192433246,14.881945089711127,8.455629908651993,8.564759058782919,6.841830942330205,9.190837508549114,10.370019108443095,7.496784566747492,11.363178235379008,13.1409138101248,11.314363688069168,10.535361483541308,7.856655038349632,8.528745979453525,7.379857506531267,7.8958760891419315,9.516132980064947,10.739568799703626,12.394124695453456
520_TOF1_AF_017_ZeBanC_P1_B2,16.6590759973727,9.8270057855226,10.681896007980214,12.228289423191534,7.794090880033433,10.834451630181958,9.293678722827012,12.210575309278271,8.822018073137764,10.725113482315017,9.847300905567806,12.20169360950822,13.406746300789784,11.122551419932668,7.406734557868122,10.182765097817445,10.843822555237061,10.387726918076023,8.007583756224875,8.756323567926232,10.614412731521634,9.659431786738406,10.81208409440431,9.851156420758548,6.973502225027577,8.271195157459484,13.020481712656428,14.437261323095774,14.375286387050238,10.683464529214811,14.400399587280626,7.0536109629775545,8.523970646135982,10.226004538083627,7.863768427280532,9.85707003164465,8.250966747077541,8.545174773043037,14.56169994216812,8.760714645076611,7.391179058497183,10.291048214019671,7.44484134030229,11.689348695514559,11.484434786043689,10.74800154155018,7.979358403301008,10.744549877601818,9.015650234944893,10.421833855931025,9.949071399287007,7.663697390947657,5.548009388960636,9.730064812486129,12.180560631270806,10.557499960709908,9.341437696127,10.767678966942373,9.910043434230662,8.030937106545462,7.376612910175086,13.10981640752723,9.314794123981983,10.559230370403709,13.180803825080302,9.01843159574013,11.122079302343321,11.393771257041848,12.077566582186622,14.22169608352065,11.947946032462811,11.900186018758331,10.567488642857471,8.699436072314915,8.347801824781993,9.590999363183192,14.328500613694109,7.65195284985179,8.276166249368961,6.328301128061661,8.379931179646,11.381008509604936,7.565283599145156,11.349466963665346,12.782517358319582,11.548657822015302,10.794793391651952,8.753501639372645,8.525351894836497,6.910994829147378,7.273451947828205,9.244513250552112,11.638419503529308,12.05335168475543
